field,tile,band,pointing,exptime,MJD,magzpt_1,magzpt_2,magzpt_3,magzpt_4,seeing_1,seeing_2,seeing_3,seeing_4,deprec_mf,deprec_1,deprec_2,deprec_3,deprec_4,filename,project,obj_band,tag
EN,2,K,0_1,5.00000,53485.61594,24.02530,24.02750,24.02100,24.02670,1.30222,1.11963,1.10580,1.36884,0,0,0,0,0,w20050425_02278_sf_st,U/UKIDSS/DXS_SV,K,EN02K
EN,2,K,0_0,5.00000,53486.42991,24.02910,24.06280,24.02580,24.07060,1.03010,0.81989,0.92070,1.12518,0,0,0,0,0,w20050426_01649_sf_st,U/UKIDSS/DXS_SV,K,EN02K
EN,2,K,1_0,5.00000,53486.44154,24.02260,24.05210,24.03380,24.00850,1.02589,0.80774,0.89509,1.09575,0,0,0,0,0,w20050426_01749_sf_st,U/UKIDSS/DXS_SV,K,EN02K
EN,2,K,0_1,5.00000,53486.45250,24.03350,24.05910,24.04650,24.07360,0.93613,0.67641,0.74602,1.04481,0,0,0,0,0,w20050426_01849_sf_st,U/UKIDSS/DXS_SV,K,EN02K
EN,2,K,1_1,5.00000,53486.46401,24.03460,24.08240,24.06460,24.00940,0.95168,0.67727,0.72947,1.04333,0,0,0,0,0,w20050426_01949_sf_st,U/UKIDSS/DXS_SV,K,EN02K
EN,2,K,0_0,5.00000,53486.47558,24.04450,24.07600,24.03240,24.09250,0.99232,0.67771,0.70402,1.05974,0,0,0,0,0,w20050426_02049_sf_st,U/UKIDSS/DXS_SV,K,EN02K
EN,2,K,1_0,5.00000,53486.48673,24.02790,24.05060,24.03620,24.00940,1.01100,0.70225,0.75465,1.08649,0,0,0,0,0,w20050426_02149_sf_st,U/UKIDSS/DXS_SV,K,EN02K
EN,2,K,0_1,5.00000,53486.49790,24.03590,24.06480,24.04580,24.07880,0.94534,0.65231,0.73055,1.06052,0,0,0,0,0,w20050426_02249_sf_st,U/UKIDSS/DXS_SV,K,EN02K
EN,2,K,1_1,5.00000,53486.50904,24.02930,24.07320,24.05810,24.01530,0.94108,0.68728,0.77762,1.09865,0,0,0,0,0,w20050426_02349_sf_st,U/UKIDSS/DXS_SV,K,EN02K
EN,2,K,0_0,5.00000,53486.52002,24.03220,24.06980,24.03340,24.08300,0.96188,0.69896,0.80538,1.11784,0,0,0,0,0,w20050426_02449_sf_st,U/UKIDSS/DXS_SV,K,EN02K
EN,2,K,1_0,5.00000,53486.53128,24.02370,24.04660,24.02710,24.00140,0.97380,0.74432,0.85173,1.14720,0,0,0,0,0,w20050426_02549_sf_st,U/UKIDSS/DXS_SV,K,EN02K
EN,2,K,0_1,5.00000,53486.54240,24.03580,24.05110,24.04660,24.07130,0.90021,0.68940,0.79436,1.07166,0,0,0,0,0,w20050426_02649_sf_st,U/UKIDSS/DXS_SV,K,EN02K
EN,2,K,1_1,5.00000,53486.55333,24.02590,24.07390,24.05660,24.00750,0.94083,0.71639,0.82679,1.12201,0,0,0,0,0,w20050426_02749_sf_st,U/UKIDSS/DXS_SV,K,EN02K
EN,2,K,0_0,5.00000,53486.56841,24.03160,24.07260,24.02920,24.08860,0.91028,0.73546,0.80268,1.07257,0,0,0,0,0,w20050426_02850_sf_st,U/UKIDSS/DXS_SV,K,EN02K
EN,2,K,1_0,5.00000,53486.57995,24.02500,24.04880,24.03220,24.00090,0.98636,0.82453,0.88794,1.13240,0,0,0,0,0,w20050426_02950_sf_st,U/UKIDSS/DXS_SV,K,EN02K
EN,2,K,0_1,5.00000,53486.59102,24.03440,24.05010,24.04550,24.02870,0.95470,0.78148,0.85280,1.11371,0,0,0,0,0,w20050426_03050_sf_st,U/UKIDSS/DXS_SV,K,EN02K
EN,2,K,1_1,5.00000,53486.60203,24.02640,24.06590,24.05380,24.00240,1.00816,0.87081,0.93182,1.15326,0,0,0,0,0,w20050426_03150_sf_st,U/UKIDSS/DXS_SV,K,EN02K
LH,1,K,0_0,5.00000,53503.26567,24.03930,24.04570,24.02300,24.02940,1.21586,0.94978,1.01305,1.28421,0,0,0,0,0,w20050513_00089_sf_st,U/UKIDSS/DXS1,K,LH01K
LH,1,K,1_0,5.00000,53503.27677,24.06200,24.06150,24.04830,24.06530,1.20773,0.92287,0.99110,1.27222,0,0,0,0,0,w20050513_00189_sf_st,U/UKIDSS/DXS1,K,LH01K
